Questions,Yes,No,Clarification,Unique Identifier
Do you know which class of Medical Device your software belongs to according to MHRA rules?,54 lines down,1 Line down,"A medical device is any instrument, apparatus, appliance, software, material or other article, whether used alone or in combination, including the software intended by its manufacturer to be used specifically for diagnostic and/or therapeutic purposes and necessary for its proper application, intended by the manufacturer to be used for human beings for the purpose of diagnosis, prevention, monitoring, treatment or alleviation of disease, OR diagnosis, monitoring, treatment, alleviation of or compensation for an injury or handicap, OR investigation, replacement or modification of the anatomy or of a physiological process OR control of conception, and which does not achieve its principal intended action in or on the human body by pharmacological, immunological or metabolic means, but which may be assisted in its function by such means",know class of medical device
Does the MD not touch patient or contact only intact skin?,54 lines down,1 Line down,,not touch patient
Does the MD involve channelling or storing for eventual administration?,1 Line down,3 Lines down,,channeling for administration
"Is the MD to be used with blood, other bodily fluids, organs or tissues?",53 lines down,1 Line down,,used with blood
May the MD be connected to an active medical device in Class IIa or higher?,51 lines down,52 lines down,,connected to active medical device
"Does the MD modify biological or chemical composition of blood, body liquids, or other liquids intended for infusion?",1 Line down,2 Lines down,,modify biological composition
"Is the MD only for filtration, centrifiguration, or exchange of gas or heat?",50 lines down,51 lines down,,"filtration, centrifiguration"
"Does the MD involve contact with injured skin (mechanical barrier, compression, absorb exudates)?",1 Line down,3 Lines down,,contact with injured skin
Is the MD intended for wounds which breach dermis and heal only by secondary intent?,49 lines down,1 Line down,,wounds which breach dermis
"Yes, is the MD intended to manage micro-environment of wounds + others?",47 lines down,46 lines down,,manage micro-environments
Is the MD invasive in body orifice or stoma (not surgically)?,1 Line down,7 Lines down,,invasive in body orifice
Is the MD for trancient use?,44 lines down,1 Line down,,trancient use
Is the MD for short-term use?,1 Line down,2 Lines down,,Short-term use
"Is the MD only for use in oral cavity, ear canal, or in nasal cavity?",42 lines down,43 lines down,,"oral cavity, ear canal"
Is the MD for long-term use?,1 Line down,2 Lines down,,Long-term use
"Is the MD only for use in oral cavity, ear canal, or in nasal cavity and is not liable to be absorbed by the mucous membrane?",41 lines down,42 lines down,,"oral cavity, ear canal, not liable to be absorbed"
Is the MD to be connected to an active medical device in Class IIa or higher?,40 lines down,1 Line down,,connected to active medical device (2)
Is the MD surgically invasive and for trancient use?,1 Line down,7 Lines down,,surgically invasive
Is the MD specifically to control/diagnose/monitor/correct a defect of heart or central circulatory system through direct contact?,40 lines down,1 Line down,,"control, diagnose, monitor or correct"
